line_number,TP,FP,FN,model_output_valid,field_项目名称,field_公告类型,field_行业分类,field_发布时间,field_预算金额,field_采购人,field_响应文件截至提交时间,field_开标地址,field_所在地区
1,9,0,0,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),Mismatch
2,9,0,0,True,OK (Matched),OK (Matched),OK (Matched),Mismatch,Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (Matched)
3,9,0,0,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched)
4,7,2,2,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),Mismatch,OK (Matched),OK (Matched),Mismatch,Mismatch
5,7,2,2,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),Mismatch
6,8,1,1,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched)
7,8,1,1,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched)
8,8,1,1,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched)
9,9,0,0,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched)
10,9,0,0,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched)
11,7,2,2,True,Mismatch,OK (Matched),OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),Mismatch,Mismatch
12,7,2,2,True,OK (Matched),OK (Matched),Mismatch,Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (Matched),Mismatch
13,7,2,2,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),Mismatch
14,8,1,1,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),Mismatch,OK (Matched),OK (Matched),Mismatch,OK (Matched)
15,7,0,0,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (both empty),OK (both empty),OK (Matched)
16,7,0,0,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (both empty),OK (both empty),OK (Matched)
17,7,0,0,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (both empty),OK (both empty),OK (Matched)
18,6,1,1,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (both empty),OK (both empty),OK (Matched)
19,7,2,2,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),Mismatch,OK (Matched)
20,8,1,1,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched)
21,8,1,1,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),Mismatch,OK (Matched)
22,5,4,4,True,OK (Matched),OK (Matched),Mismatch,Mismatch,Mismatch,OK (Matched),Mismatch,Mismatch,Mismatch
23,6,1,1,True,OK (Matched),OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),OK (both empty),OK (both empty),OK (Matched)
24,3,5,6,True,Mismatch,OK (Matched),Mismatch,OK (Matched),FN (Missed),OK (Matched),Mismatch,Mismatch,Mismatch
25,6,1,1,True,OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (Matched),OK (both empty),OK (both empty),Mismatch
26,7,2,2,True,OK (Matched),Mismatch,Mismatch,OK (Matched),Mismatch,OK (Matched),OK (Matched),OK (Matched),Mismatch
27,6,3,3,True,OK (Matched),OK (Matched),Mismatch,Mismatch,Mismatch,OK (Matched),OK (Matched),Mismatch,Mismatch
28,4,5,5,True,Mismatch,OK (Matched),Mismatch,Mismatch,Mismatch,OK (Matched),OK (Matched),Mismatch,Mismatch
